x,y,Yield,D1,D2,D3,D4,D5
6.00053144533745,1.25,7.373676,0,0,0,0,0
6.00053144533745,3.75,7.40494342857143,0,0,0,0,0
6.00053144533745,6.25,8.12727588571429,0,0,0,0,0
6.00053144533745,8.75,8.69830491428571,0,0,0,0,0
6.00053144533745,11.25,8.08272365714286,0,0,0,0,0
6.00053144533745,13.75,8.78133394285714,0,0,0,0,0
6.00053144533745,16.25,9.15307491428571,0,0,0,0,0
6.00053144533745,18.75,9.0661288,0,0,0,0,0
6.00053144533745,21.25,9.243696,0,0,0,0,0
6.00053144533745,23.75,8.58118308571429,0,0,0,0,0
6.00053144533745,26.25,8.09007474285714,0,0,0,0,0
6.00053144533745,28.75,8.31769714285714,0,0,0,0,0
6.00053144533745,31.25,8.01199371428572,0,0,0,0,0
6.00053144533745,33.75,8.45340914285714,0,0,0,0,0
6.00053144533745,36.25,8.64368542857143,0,0,0,0,0
6.00053144533745,38.75,8.07406577142857,0,0,0,0,0
6.00053144533745,41.25,7.34155874285714,0,0,0,0,0
6.00053144533745,43.75,7.7193216,0,0,0,0,0
6.00053144533745,46.25,7.80242628571429,0,0,0,0,0
6.00053144533745,48.75,6.91865142857143,0,0,0,0,0
6.00053144533745,51.25,6.90265148571429,0,0,0,0,1
6.00053144533745,53.75,7.02796594285714,0,0,0,0,1
6.00053144533745,56.25,7.22264017142857,0,0,0,0,1
6.00053144533745,58.75,7.24219577142857,0,0,0,0,1
6.00053144533745,61.25,7.61497851428572,0,0,0,0,1
6.00053144533745,63.75,7.44658165714286,0,0,0,0,1
6.00053144533745,66.25,7.47096514285714,0,0,0,0,1
6.00053144533745,68.75,7.994284,0,0,0,0,1
6.00053144533745,71.25,8.22446228571429,0,0,0,0,1
6.00053144533745,73.75,7.81288834285714,0,0,0,0,1
6.00053144533745,76.25,6.82049234285714,0,0,0,0,1
6.00053144533745,78.75,6.27074194285714,0,0,0,0,1
6.00053144533745,81.25,5.91618091428571,0,0,0,0,1
6.00053144533745,83.75,5.3701472,0,0,0,0,1
6.00053144533745,86.25,4.43666302857143,0,0,0,0,1
6.00053144533745,88.75,3.91373862857143,0,0,0,0,1
6.00053144533745,91.25,4.75470405714286,0,0,0,0,1
6.00053144533745,93.75,5.0766704,0,0,0,0,1
6.00053144533745,96.25,5.2029656,0,0,0,0,1
6.00053144533745,98.75,5.5985364,0,0,0,0,1
6.00053144533745,101.25,6.179864,0,1,0,1,0
6.00053144533745,103.75,6.6840064,0,1,0,1,0
6.00053144533745,106.25,7.04120777142857,0,1,0,1,0
6.00053144533745,108.75,7.77801365714286,0,1,0,1,0
6.00053144533745,111.25,8.7707224,0,1,0,1,0
6.00053144533745,113.75,8.63706885714286,0,1,0,1,0
6.00053144533745,116.25,7.7261624,0,1,0,1,0
6.00053144533745,118.75,7.03289291428572,0,1,0,1,0
6.00053144533745,121.25,5.53869514285714,0,1,0,1,0
6.00053144533745,123.75,5.86044462857143,0,1,0,1,0
6.00053144533745,126.25,6.58122005714286,0,1,0,1,0
6.00053144533745,128.75,6.49021017142857,0,1,0,1,0
6.00053144533745,131.25,6.35777234285714,0,1,0,1,0
6.00053144533745,133.75,6.00841371428571,0,1,0,1,0
6.00053144533745,136.25,5.41414971428572,0,1,0,1,0
6.00053144533745,138.75,5.3399464,0,1,0,1,0
6.00053144533745,141.25,5.2661056,0,1,0,1,0
6.00053144533745,143.75,5.3977808,0,1,0,1,0
6.00053144533745,146.25,4.8155824,0,1,0,1,0
6.00053144533745,148.75,4.7878432,0,1,0,1,0
6.00053144533745,151.25,4.74620131428571,0,1,0,1,1
6.00053144533745,153.75,5.1147264,0,1,0,1,1
6.00053144533745,156.25,4.97431457142857,0,1,0,1,1
6.00053144533745,158.75,4.70623765714286,0,1,0,1,1
6.00053144533745,161.25,5.071632,0,1,0,1,1
6.00053144533745,163.75,5.86302942857143,0,1,0,1,1
6.00053144533745,166.25,6.208236,0,1,0,1,1
6.00053144533745,168.75,5.6465264,0,1,0,1,1
6.00053144533745,171.25,5.21811085714286,0,1,0,1,1
6.00053144533745,173.75,5.33201005714286,0,1,0,1,1
6.00053144533745,176.25,5.3265664,0,1,0,1,1
6.00053144533745,178.75,5.28128731428571,0,1,0,1,1
6.00053144533745,181.25,4.76263497142857,0,1,0,1,1
6.00053144533745,183.75,3.74857142857143,0,1,0,1,1
6.00053144533745,186.25,3.84683371428571,0,1,0,1,1
6.00053144533745,188.75,4.10360051428571,0,1,0,1,1
6.00053144533745,191.25,4.3430832,0,1,0,1,1
6.00053144533745,193.75,4.60602365714286,0,1,0,1,1
6.00053144533745,196.25,4.67506834285714,0,1,0,1,1
6.00053144533745,198.75,5.52832182857143,0,1,0,1,1
10.8171174697127,1.25,5.80574331428571,0,0,0,0,0
10.8171174697127,3.75,6.38630022857143,0,0,0,0,0
10.8171174697127,6.25,6.60733051428571,0,0,0,0,0
10.8171174697127,8.75,5.94541034285714,0,0,0,0,0
10.8171174697127,11.25,6.081216,0,0,0,0,0
10.8171174697127,13.75,5.93937828571429,0,0,0,0,0
10.8171174697127,16.25,6.15834514285714,0,0,0,0,0
10.8171174697127,18.75,5.66439074285714,0,0,0,0,0
10.8171174697127,21.25,6.2332464,0,0,0,0,0
10.8171174697127,23.75,6.0179232,0,0,0,0,0
10.8171174697127,26.25,6.44877382857143,0,0,0,0,0
10.8171174697127,28.75,6.57217628571429,0,0,0,0,0
10.8171174697127,31.25,6.121224,0,0,0,0,0
10.8171174697127,33.75,5.88716571428572,0,0,0,0,0
